(94198,-55914)
(93568,-883)
(-7301,97521)
(44485,-50225)
(-77033,-8318)
(-12696,35663)
(31335,66649)
(93628,15595)
(23124,39736)
(85228,-85955)
(-67353,-84281)
(-49182,-7620)
(14959,37094)
(-75949,-19114)
(-91702,94709)
(-14751,15609)
(67540,7898)
(84960,-2253)
(6960,-54429)
(42274,-8346)
(-50301,-21592)
(40610,50913)
(-50265,45164)
(29692,52556)
(-62338,-65306)
(-73010,31248)
(76200,77407)
(62663,80153)
(25296,97733)
(31602,23915)
(-99175,-70619)
(-86574,-42708)
(39670,-15806)
(-23210,-2655)
(29800,-90147)
(8905,-63871)
(86360,-1636)
(57919,93888)
(36787,-21810)
(-67344,-88455)
(-31673,-98574)
(-64999,-99358)
(-44429,21294)
(-20890,8229)
(52110,-32090)
(-48526,86170)
(66961,-57601)
(-26993,-26109)
(76462,-85410)
(89699,-79381)
